f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,Diagnosis,Segment,SourceFile
0.5930624185245496,0.34457871713835225,0.5363759357618991,0.49121732168786514,0.385163460405756,0.27876324656859763,0.34401919418312726,0.36619672588110835,0.4848636285798321,0.537049050120156,0.49214118064031553,0.45895237116164317,0.5226461078674176,wiltur,0,XC104532.ogg
0.5757717362325306,0.36187353144690726,0.4813223576672982,0.4775522279581727,0.5354533978596894,0.4431919552662706,0.4924364643672527,0.5814075675527328,0.6005179478108029,0.4184383902589065,0.22332242365477675,0.24063422898120163,0.5215930364501172,wiltur,1,XC104532.ogg
0.5707784501264846,0.42356058594524343,0.4766012764157715,0.3530347254801737,0.5565043085077255,0.41593702970418317,0.2303429318464878,0.3387177594156059,0.5088995452320433,0.42179232261927735,0.5180871815889075,0.7052223477599248,0.61645901299605,wiltur,2,XC104532.ogg
0.5790548427283609,0.34320754018746663,0.4515202969585136,0.2568785602298225,0.29249552270436263,0.4619650153319818,0.6123237940065334,0.622243377516018,0.6351495280977266,0.4975004522775758,0.29803169511785393,0.30456614631636725,0.5611739975602357,wiltur,3,XC104532.ogg
0.554396357239575,0.4199490280313537,0.41044250494669793,0.27037738181364096,0.5397676679673418,0.5044545525296754,0.4616947806246407,0.5609464241074069,0.4780978830156617,0.25677590846124415,0.3622759689263118,0.550696532490394,0.6163991416449063,wiltur,4,XC104532.ogg
0.5905326508905532,0.3411275690509615,0.4590025728133827,0.36168730453215825,0.30082185790426386,0.3379449640202741,0.5328017620680505,0.4799795190462366,0.40537641601088176,0.5660361658573875,0.8311869596923177,0.7689240654472577,0.4837061837510864,wiltur,5,XC104532.ogg
0.5745786246808302,0.4052089751803184,0.4431185323578734,0.3909759828963688,0.4713218813393006,0.3523731650875105,0.3944631333963099,0.4514219934662369,0.44641122882394607,0.42171201128693214,0.5045770034162382,0.528203061038907,0.4617184583639191,wiltur,6,XC104532.ogg
0.5827473550415931,0.36093593078660163,0.43760175598212236,0.3495520442541334,0.44634342901307733,0.4677261702369489,0.5300385349133168,0.5914037520544887,0.6330868390804782,0.46399410974082383,0.29819127038733406,0.4235232002634179,0.6928278638035532,wiltur,7,XC104532.ogg
0.5865952987477061,0.390030055777154,0.3797313507493458,0.3314637790089095,0.6317107457101199,0.6694981726745072,0.5375266959354088,0.4324928691107644,0.44780544092545127,0.41009624106057935,0.39064545431550685,0.42262687792943,0.4887712267440202,wiltur,8,XC104532.ogg
0.6162273000266416,0.3977126618375682,0.3526225414738756,0.3286999231743172,0.4977536589552322,0.3725555676017269,0.37469730865956663,0.49607755302043843,0.6174690192641565,0.6178298648585021,0.5290853313122797,0.3569161748307586,0.3829837821410683,wiltur,0,XC104533.ogg
0.6728710936346372,0.44060545509448656,0.7849212648386528,0.7944352718445135,0.8031626576942437,0.7728035958036513,0.7449273524209361,0.5939944671628489,0.5205107503080283,0.5771818458015517,0.6888169680450738,0.7152185468147055,0.6879301637421283,wiltur,1,XC104533.ogg
0.6379833169316004,0.42514366377827645,0.5311936709982806,0.3597078645021929,0.35972447222180964,0.3730539735786281,0.43133188105333337,0.39629027564111097,0.4784607634139854,0.5823971399280218,0.5643288171642142,0.4365560916357353,0.5009494089608322,wiltur,2,XC104533.ogg
0.5967812827565734,0.3737041209565271,0.49448214748372205,0.4450316645512443,0.517981695691312,0.38061975185252284,0.2332953832519611,0.13384036662698792,0.2895625204294857,0.5366492882644046,0.7606627012838477,0.7699978444023062,0.6178042246458698,wiltur,3,XC104533.ogg
0.5810789306811798,0.4384074552652083,0.4797298897954296,0.29660256202111174,0.5103877283126218,0.45396250580450453,0.3537148712160278,0.4515188781567342,0.5315994759040789,0.44207497156838965,0.6307711375346198,0.9306950623684414,0.8454105085442978,wiltur,4,XC104533.ogg
0.6132301907407979,0.36390666547682937,0.54241306635457,0.5085653883066815,0.5313768792866277,0.3652620954255049,0.23368726364591902,0.2677639845404673,0.5991234843407653,0.7928964684799418,0.6884787293761002,0.440220428687117,0.362336774861211,wiltur,5,XC104533.ogg
0.6128564060283929,0.4359970765463651,0.4870818742413282,0.30721969114234443,0.3953434357008715,0.3474440966519306,0.3392022382952004,0.4198069697151529,0.49365702575897374,0.3305270588771086,0.2937571513919749,0.5766414411918022,0.8213242990982738,wiltur,6,XC104533.ogg
0.622739637636443,0.35844342038513316,0.4874387609688562,0.4142284522960378,0.41178638042490223,0.4363345240433178,0.48476789679217225,0.38165934103522753,0.44632073917343257,0.5366794157167704,0.4347250086654227,0.300632847176744,0.43047891859058174,wiltur,7,XC104533.ogg
